"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"ABS - SCAN CLERK GROCERY","United Supermarkets, LLC","Kisharsány, Baranya, Hungary","Entry level","Part-time","Food & Beverages","Food Production","Retail","Customer Service","Information Technology","",
"HR Student Support","Accenture Hungary","","Entry level","Part-time","Information Technology & Services","Computer Software","Financial Services","Human Resources","","",
"IT Asset and Demand Management Trainee","MOL Group","Budapest, Budapest, Hungary","Entry level","Part-time","Oil & Energy","","","Information Technology","","",
"Application Support Associate – ERP Software Company","Epicor Software","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"Recruitment Trainee","Flex","Budapest, Budapest, Hungary","Entry level","Part-time","Electrical & Electronic Manufacturing","","","Human Resources","","",
"Production intern","Henkel","Körösladány, Békés, Hungary","Entry level","Part-time","Chemicals","Consumer Goods","","Engineering","Engineering","",
"Swedish/Scandinavian Speaking Junior Financial Analyst - Student","Tata Consultancy Services","","Entry level","Part-time","Information Technology & Services","","","Finance","","",
"Greek Speaking Junior Financial Analyst - Student","Tata Consultancy Services","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Finance","","",
"myExpenses Analyst - fixed term, maternity cover-","bp","Budapest, Budapest, Hungary","Entry level","Part-time","Oil & Energy","","","Purchasing","Supply Chain","",
"Bulgarian Speaking Junior Financial Analyst - Student","Tata Consultancy Services","","Entry level","Part-time","Information Technology & Services","","","Finance","","",
"Polish Speaking Junior Financial Analyst - Student","Tata Consultancy Services","","Entry level","Part-time","Information Technology & Services","","","Finance","","",
"Londiner Helper - Budapest","Marriott Hotels","Budapest, Budapest, Hungary","Entry level","Part-time","Restaurants","Food & Beverages","Hospitality","Other","","",
"Treasury assistant (part time/fix term)","Celltrion Healthcare Co.,Ltd.","Budapest, Hungary","Entry level","Part-time","Pharmaceuticals","Accounting","","Accounting/Auditing","Administrative","Finance",
"Londiner Helper","Marriott Executive Apartments","Budapest, Budapest, Hungary","Entry level","Part-time","Hospitality","Leisure, Travel & Tourism","Food & Beverages","Quality Assurance","Customer Service","",
"Business Partner - GBS Customer","bp","Budapest, Budapest, Hungary","Mid-Senior level","Part-time","Oil & Energy","","","Finance","","",
"Russian Speaking Junior Financial Analyst - Student","Tata Consultancy Services","","Entry level","Part-time","Information Technology & Services","","","Finance","","",
"PR gyakornok","ACG Budapest","","Entry level","Part-time","Marketing & Advertising","","","Marketing","Public Relations","Project Management",
"Pénzügyi Asszisztens","Diák-Meló Iskolaszövetkezet","Tiszaújváros, Borsod-Abaúj-Zemplén, Hungary","","Part-time","","","","","","",
"Sales Advisor","H&M","Siófok, Somogy, Hungary","Entry level","Part-time","Apparel & Fashion","Human Resources","Retail","Sales","Business Development","",
"Financial Operation Associate - Greek Speaking (part time, 20 hours/ weeks)","Vodafone Magyarország","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Management","Manufacturing","",
"Content writer/Copywriter","Livingston Research","Budapest, Budapest, Hungary","Entry level","Part-time","Marketing & Advertising","Information Technology & Services","E-learning","Marketing","Public Relations","Writing/Editing",
"Technology Youth Talent Pool","Vodafone Magyarország","Debrecen, Hajdú-Bihar, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Information Technology","","",
"CONTACT CENTER REPRESENTATIVE (ENGLISH & ROMANIAN – PART-TIME AFTERNOON)","GrabJobs Hungary","Budapest, Budapest, Hungary","Entry level","Part-time","Hospitality","","","Customer Service","Information Technology","",
"Technology Youth Talent Pool","Vodafone Magyarország","Debrecen, Hajdú-Bihar, Hungary","Entry level","Part-time","Information Technology & Services","Internet","Telecommunications","Information Technology","","",
"Data Specialist (Recognition Services)","Trax Retail","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"Operation Risk Control Specialist (Part-time)","BNP PARIBAS","Budapest, Budapest, Hungary","Entry level","Part-time","Retail","","","Management","Manufacturing","",
