"TITLE","COMPANY","LOCATION","SENIORITY","EMPLOYMENT_TYPE","INDUSTRY_LIST1","INDUSTRY_LIST2","INDUSTRY_LIST3","JOB_FUNCTIONS_LIST1","JOB_FUNCTIONS_LIST2","JOB_FUNCTIONS_LIST3",
"Social Media Evaluation for English Speakers in Hungary","Appen","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Social Media Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Social Media Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Product Manager","WebPredict.io","Budapest, Hungary","","Part-time","","","","","","",
"Checker","United Supermarkets, LLC","Kisharsány, Baranya, Hungary","Entry level","Part-time","Food & Beverages","Food Production","Retail","Management","Manufacturing","",
"L1 Technical Support Agent - Part Time (Budapest, Spanish Speaking)","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"Automotive Support Engineer with Italian","MSX International","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Automotive","Financial Services","Information Technology","","",
"Talent Acquisition Specialist - part time","Vega Partners","Hungary","Entry level","Part-time","Human Resources","Management Consulting","","Customer Service","Human Resources","Consulting",
"Student - Spanish Speaking Service Desk Analyst - Level 1","Tata Consultancy Services","","Entry level","Part-time","Information Technology & Services","","","Information Technology","","",
"Image Data Collection for Hungarian speakers in Hungary","Appen","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Junior HR tanácsadó","HumanField Executive and Specialist Search","","Entry level","Part-time","Information Technology & Services","Computer Software","Financial Services","Human Resources","","",
"Office Administrator - Budapest","Process Solutions","","Entry level","Part-time","Staffing & Recruiting","Human Resources","Accounting","Administrative","","",
"Master Data Specialist (part-time, fixed term)","GE Power","Pest, Hungary","Entry level","Part-time","Mechanical Or Industrial Engineering","Oil & Energy","","Quality Assurance","Distribution","Manufacturing",
"L1 Technical Support Agent - Part Time (Budapest)","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"Junior Business Analyst","HyperTeam Üzleti és Informatikai Tanácsadó Kft.","Budapest, Hungary","","Part-time","","","","","","",
"Business Partner - GBS Customer","bp","Budapest, Budapest, Hungary","Mid-Senior level","Part-time","Oil & Energy","","","Finance","","",
"Contact center representative english & italian - Budapest","Worklife Hungary Kft.","Budapest, Budapest, Hungary","Entry level","Part-time","Electrical & Electronic Manufacturing","Financial Services","Health, Wellness & Fitness","Customer Service","Information Technology","",
"Automotive Support Engineer with Dutch","MSX International","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Automotive","Financial Services","Information Technology","","",
"Contact center representative (english & italian)","Worklife Hungary Kft.","Budapest, Budapest, Hungary","Entry level","Part-time","Construction","Human Resources","Financial Services","Customer Service","Information Technology","",
"Search Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"L1 Technical Support Agent - Part Time (Budapest, Spanish Speaking) - Instructure","Instructure","Budapest, Budapest, Hungary","Entry level","Part-time","Information Technology & Services","Computer Software","Internet","Information Technology","","",
"Search Evaluation for Hungarian Speakers in Hungary","Appen","Budapest, Hungary","Entry level","Part-time","Information Technology & Services","","","Information Technology","Other","Customer Service",
"Machine Learning Engineer","WebPredict.io","Budapest, Hungary","","Part-time","","","","","","",
"Contact center representative english & romanian - Budapest","Worklife Hungary Kft.","Budapest, Budapest, Hungary","Entry level","Part-time","Electrical & Electronic Manufacturing","Financial Services","Health, Wellness & Fitness","Customer Service","Information Technology","",
"Contact center representative english & german","Worklife Hungary Kft.","Budapest, Budapest, Hungary","Entry level","Part-time","Electrical & Electronic Manufacturing","Financial Services","Health, Wellness & Fitness","Customer Service","Information Technology","",
"","","","","","","","","","","",
